Variables,R-squared,Adj. R-squared,P-value,AIC,BIC,Coefficients
"TTLCONS, CPIAUCSL, RSAFS, PPIACO, NASDAQCOM, REVOLSL, SP500",0.7882962242913533,0.7848973104611686,1.2165560636540737e-142,4363.117966825772,4395.8845633252295,"const: 23.4282, TTLCONS: 0.0001, CPIAUCSL: -0.9075, RSAFS: -0.0003, PPIACO: 1.2273, NASDAQCOM: 0.0024, REVOLSL: 0.1142, SP500: 0.0180"
"TTLCONS, CPIAUCSL, PCESV, RSAFS, PPIACO, NASDAQCOM, REVOLSL, SP500",0.7886451266908227,0.7847581405150217,1.344482112056315e-141,4364.385620609259,4401.248041671149,"const: 25.5897, TTLCONS: 0.0001, CPIAUCSL: -0.9342, PCESV: 0.0016, RSAFS: -0.0003, PPIACO: 1.2250, NASDAQCOM: 0.0019, REVOLSL: 0.1047, SP500: 0.0178"
"TTLCONS, CPIAUCSL, RSAFS, PPIACO, NASDAQCOM, REVOLSL, DJIA",0.788139452608922,0.7847380218021845,1.4288987728382353e-142,4363.446637709423,4396.213234208881,"const: 25.8179, TTLCONS: 0.0001, CPIAUCSL: -0.9787, RSAFS: -0.0003, PPIACO: 1.2934, NASDAQCOM: 0.0027, REVOLSL: 0.1087, DJIA: 0.0020"
"PI, TTLCONS, CPIAUCSL, RSAFS, PPIACO, NASDAQCOM, REVOLSL, SP500",0.7884842825059665,0.7845943382761911,1.5854341834194508e-141,4364.723382672042,4401.585803733932,"const: 14.4327, PI: -0.0018, TTLCONS: 0.0001, CPIAUCSL: -0.7785, RSAFS: -0.0003, PPIACO: 1.2300, NASDAQCOM: 0.0026, REVOLSL: 0.1168, SP500: 0.0194"
"PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, PPIACO, NASDAQCOM, REVOLSL, SP500",0.7888694718956839,0.784491189054811,1.5724967470334544e-140,4365.9140810957615,4406.872326720084,"const: 15.8577, PI: -0.0020, TTLCONS: 0.0001, CPIAUCSL: -0.7944, PCESV: 0.0017, RSAFS: -0.0003, PPIACO: 1.2278, NASDAQCOM: 0.0021, REVOLSL: 0.1071, SP500: 0.0194"
"TTLCONS, CPIAUCSL, RSAFS, PPIACO, NASDAQCOM, REVOLSL, SP500, DJIA",0.7883178308713011,0.7844248254620376,1.8800948771431572e-141,4365.072649678983,4401.935070740873,"const: 24.1283, TTLCONS: 0.0001, CPIAUCSL: -0.9271, RSAFS: -0.0003, PPIACO: 1.2449, NASDAQCOM: 0.0025, REVOLSL: 0.1129, SP500: 0.0134, DJIA: 0.0005"
"PI, TTLCONS, CPIAUCSL, RSAFS, PPIACO, NASDAQCOM, REVOLSL, DJIA",0.7882956694534514,0.7844022564778828,1.923233146577717e-141,4365.119130469192,4401.981551531082,"const: 17.8228, PI: -0.0016, TTLCONS: 0.0001, CPIAUCSL: -0.8668, RSAFS: -0.0003, PPIACO: 1.3007, NASDAQCOM: 0.0029, REVOLSL: 0.1107, DJIA: 0.0022"
"TTLCONS, CPIAUCSL, PCESV, RSAFS, PPIACO, NASDAQCOM, REVOLSL, DJIA",0.7882745944027802,0.7843807938400728,1.965170262915644e-141,4365.1633282272,4402.02574928909,"const: 27.0374, TTLCONS: 0.0001, CPIAUCSL: -0.9932, PCESV: 0.0010, RSAFS: -0.0003, PPIACO: 1.2907, NASDAQCOM: 0.0025, REVOLSL: 0.1025, DJIA: 0.0020"
"TTLCONS, CPIAUCSL, PCESV, RSAFS, PPIACO, NASDAQCOM, REVOLSL, SP500, DJIA",0.7886552259734972,0.784272500244837,1.957777403791329e-140,4366.364404213471,4407.3226498377935,"const: 25.2289, TTLCONS: 0.0001, CPIAUCSL: -0.9216, PCESV: 0.0018, RSAFS: -0.0003, PPIACO: 1.2116, NASDAQCOM: 0.0018, REVOLSL: 0.1049, SP500: 0.0213, DJIA: -0.0004"
"TTLCONS, CPIAUCSL, PCESV, RSAFS, PPIACO, REVOLSL, SP500",0.7876720127862992,0.7842630772117672,2.3068553933299787e-142,4364.425180731318,4397.191777230775,"const: 27.3662, TTLCONS: 0.0001, CPIAUCSL: -0.9808, PCESV: 0.0028, RSAFS: -0.0003, PPIACO: 1.2502, REVOLSL: 0.1010, SP500: 0.0205"
