Variables,R-squared,Adj. R-squared,P-value,AIC,BIC
"HPIPONM226S, PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, PPIACO, NASDAQCOM, SP500",0.8143467995098906,0.8104968483476533,1.3350047811068253e-152,4308.817395393273,4349.775641017595
"HPIPONM226S, PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, PPIACO, NASDAQCOM, REVOLSL, SP500",0.8145769306990787,0.8102946427244615,1.5294885889361472e-151,4310.266682402885,4355.32075258964
"HPIPONM226S, TTLCONS, CPIAUCSL, PCESV, RSAFS, PPIACO, NASDAQCOM, REVOLSL, SP500",0.8134947447949401,0.8096271242952959,3.5928073729155146e-152,4310.850470007923,4351.808715632245
"HPIPONM226S, TTLCONS, CPIAUCSL, PCESV, RSAFS, PPIACO, NASDAQCOM, SP500",0.8128402196987907,0.8093982007507226,4.82788709133865e-153,4310.405924290744,4347.268345352634
"HPIPONM226S, PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, PPIACO, REVOLSL, SP500",0.8130505578535222,0.8091737261039409,6.008846779274125e-152,4311.906657526186,4352.864903150508
"HPIPONM226S, PI, TTLCONS, CPIAUCSL, RSAFS, PPIACO, NASDAQCOM, REVOLSL, SP500",0.8130405606839428,0.809163521619785,6.078718340412006e-152,4311.9303999057565,4352.888645530079
"HPIPONM226S, TTLCONS, CPIAUCSL, PCESV, RSAFS, PPIACO, REVOLSL, SP500",0.8125414418849294,0.8090939281724683,6.822647886711078e-153,4311.1141511119,4347.97657217379
"HPIPONM226S, PI, TTLCONS, CPIAUCSL, RSAFS, PPIACO, REVOLSL, SP500",0.8124017571792255,0.8089516745526365,8.018444959503779e-153,4311.444874415919,4348.307295477809
"HPIPONM226S, PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, PPIACO, SP500",0.8121489281570051,0.8086941958012719,1.07375476208674e-152,4312.042857144612,4348.905278206502
"HPIPONM226S, TTLCONS, CPIAUCSL, RSAFS, PPIACO, REVOLSL, SP500",0.8116650181486236,0.8086412913757803,1.1035464614298801e-153,4311.185143840889,4343.951740340347
