Model Variables,R-squared,Adj. R-squared,F-statistic,Prob (F-statistic),AIC,BIC,Model Number
Variable_1,0.11085698330623805,0.10947632644801797,80.29292915630698,3.456006392841145e-18,6255.914374671178,6264.855973678743,Model 1
Variable_2,0.017432788614288097,0.01590706313076995,11.42590118773507,0.0007680285596360298,6320.456656956428,6329.398255963993,Model 2
Variable_3,0.0694313333458424,0.06798635094420558,48.04995082790619,1.011480381629819e-11,6285.331775738601,6294.273374746166,Model 3
"Variable_1, Variable_2",0.1284606163221932,0.12574976287373973,47.38751790343999,6.342726524609152e-20,6244.996285780023,6258.40868429137,Model 4
"Variable_1, Variable_2, Variable_1_x_Variable_2",0.13170754936220885,0.12765010800408827,32.46074009143984,1.5212248624102199e-19,6244.5851088632835,6262.468306878414,Model 5
"Variable_1, Variable_3",0.17171529772961813,0.1691389845032717,66.65156083258297,4.951700634208129e-27,6212.112226835746,6225.524625347093,Model 6
"Variable_1, Variable_3, Variable_1_x_Variable_3",0.17173276599295795,0.16786235835741092,44.37071806486616,4.5664869245518117e-26,6214.098602755666,6231.981800770797,Model 7
"Variable_2, Variable_3",0.08172020368594679,0.07886396792758277,28.611154890362485,1.2487396283581301e-12,6278.7440225399005,6292.156421051248,Model 8
"Variable_2, Variable_3, Variable_2_x_Variable_3",0.08204869096969669,0.07775919887142424,19.127833573289728,6.8503713224935656e-12,6280.5128939124115,6298.396091927542,Model 9
"Variable_1, Variable_2, Variable_3",0.18444634293987772,0.1806353445424005,48.39843098910169,3.2988788337358196e-28,6204.1058662995765,6221.989064314707,Model 10
"Variable_1, Variable_2, Variable_3, Variable_1_x_Variable_2",0.1862665962533847,0.1811886966980235,36.68181976083597,1.2379547121315542e-27,6204.662432348568,6227.016429867481,Model 11
"Variable_1, Variable_2, Variable_3, Variable_1_x_Variable_3",0.1847546520593697,0.17966731759484156,36.3165923820397,2.2264145862154064e-27,6205.86160849349,6228.215606012403,Model 12
"Variable_1, Variable_2, Variable_3, Variable_2_x_Variable_3",0.1873020410908327,0.1822306029697146,36.93272728910674,8.276452111709657e-28,6203.839898461531,6226.193895980445,Model 13
